id,system_name,primary_attribute,attack_type,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,legs,day_vision,night_vision,name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_wins,pro_pick,pro_win,pro_ban,pub_pick,pub_win,x,y
83,treant,str,Melee,120,0.25,75,0.25,0,25,60,68,25,15,20,3.4,1.8,1.8,150,900,1.9,100,0.6000000000000001,280,,2,1800,800,Treant Protector,10540,4994,19508,9502,22445,11224,22106,11063,18111,9181,14056,7328,20141,10695,0,0,45798,20654,49,30,212,141070,70522,-5.0378294,-5.6690035
84,ogre_magi,str,Melee,120,1.5,120,0.0,4,25,45,51,25,14,0,4.2,1.5,0.0,150,900,1.7000000000000002,100,0.30000000000000004,290,,2,1800,800,Ogre Magi,56418,29292,102488,52227,105523,53486,87165,43954,60086,30300,35044,17803,28671,14384,0,0,327403,173499,116,52,14,524208,267474,11.623462,7.3813434
85,undying,str,Melee,120,,75,0.25,1,25,33,41,22,10,27,2.4,1.2,2.8,150,900,1.7000000000000002,100,0.30000000000000004,300,,2,1800,800,Undying,26716,13715,50285,25889,52547,27044,44922,23261,31629,16416,19894,10422,18782,9726,0,0,99608,50585,15,9,22,271318,139304,4.360909,2.9646065
86,rubick,int,Ranged,120,0.25,75,0.5,1,25,26,32,21,23,24,2.0,2.5,3.7,550,1125,1.7000000000000002,100,0.4,290,0.7000000000000001,2,1800,800,Rubick,30742,14561,71329,33913,94831,45362,98483,47459,81054,39393,55199,26922,55916,27203,0,0,278470,134701,73,39,47,519692,250233,11.085052,7.3531475
87,disruptor,int,Ranged,120,0.25,75,0.0,0,25,27,31,21,15,20,2.4,1.4,2.9,625,1200,1.7000000000000002,100,0.4,295,,2,1800,800,Disruptor,13485,6659,30546,15203,40585,20302,41525,20684,33500,16810,23549,11979,25913,13116,0,0,61840,29797,79,31,38,227919,114624,0.09357379,1.3921994
88,nyx_assassin,all,Melee,120,2.0,75,0.0,1,25,26,30,17,18,21,2.7,2.9,2.6,150,900,1.7000000000000002,100,0.46,310,,6,1800,800,Nyx Assassin,16510,8591,33196,17327,39516,20722,37950,20086,29935,15779,19440,10293,19445,10236,0,0,113878,58524,21,13,76,218327,114475,2.7287655,0.45260838
89,naga_siren,agi,Melee,120,1.0,75,0.0,1,25,23,25,21,22,19,2.4,3.4,2.0,150,900,1.7000000000000002,110,0.5,330,,0,1800,800,Naga Siren,10614,5472,13448,6669,9990,4882,6692,3306,4272,2071,2379,1145,2467,1244,0,0,42642,22636,7,4,15,66661,33919,-9.624614,-9.066546
90,keeper_of_the_light,int,Ranged,120,0.25,75,0.0,0,25,20,27,18,15,24,2.3,1.6,3.3,600,900,1.7000000000000002,100,0.30000000000000004,320,0.7000000000000001,2,1800,800,Keeper of the Light,10146,4776,17240,8236,17102,8178,14065,6922,10720,5386,7087,3502,7653,3828,0,0,46329,20544,16,10,28,100736,48172,-8.378768,-7.566893
91,wisp,all,Ranged,120,0.25,75,0.0,1,25,21,27,19,14,21,3.0,1.6,1.7000000000000002,500,1200,1.7000000000000002,100,0.30000000000000004,320,0.7000000000000001,0,1800,800,Io,10855,5279,20038,9834,21096,10608,17605,8981,12703,6510,8028,4131,8547,4392,0,0,61296,29817,3,3,50,111658,55784,-7.287881,-6.77199
92,visage,all,Ranged,120,0.25,75,0.0,0,25,21,31,22,11,22,2.8,1.3,2.9,600,1400,1.7000000000000002,110,0.4,285,,2,1800,800,Visage,6901,3414,11344,5853,11138,5885,9267,4910,6567,3473,4715,2516,6558,3581,0,0,27958,13170,10,6,133,69755,36246,-10.199798,-8.359902
93,slark,agi,Melee,120,0.25,75,0.0,0,25,37,43,20,21,16,2.1,1.5,1.9,150,0,1.7000000000000002,120,0.5,300,0.7000000000000001,2,1800,1800,Slark,37067,19428,78205,40135,93109,47231,87922,44133,68321,34483,44912,22705,46402,23798,0,0,208802,109469,32,13,36,495948,253086,10.250776,7.5241747
94,medusa,agi,Ranged,120,0.25,75,0.0,-1,25,26,32,0,22,25,0.0,3.6,3.6,600,1200,1.7000000000000002,100,0.5,275,,0,1800,800,Medusa,14238,7100,25992,13131,27559,13839,24155,12117,16882,8409,10257,5081,8870,4284,0,0,64283,34869,25,11,39,144267,72391,-5.3598294,-4.518217
95,troll_warlord,agi,Ranged,120,0.25,75,0.0,-1,25,27,35,21,23,13,2.5,3.3,1.0,500,1200,1.7000000000000002,100,0.30000000000000004,290,,2,1800,800,Troll Warlord,16251,8453,20399,10551,16716,8481,12416,6251,8396,4068,4763,2360,4031,1893,0,0,69065,36595,20,9,26,107918,54989,-7.160233,-7.400587
96,centaur,str,Melee,120,3.0,75,0.0,-2,25,36,38,27,15,15,4.0,1.0,1.6,150,900,1.7000000000000002,90,0.30000000000000004,305,,4,1800,800,Centaur Warrunner,16439,8582,34866,18024,41817,21498,40210,20473,31230,15555,20577,10292,19520,9615,0,0,71554,38411,64,28,38,233192,119079,0.77788436,1.4471184
97,magnataur,all,Melee,120,0.5,75,0.5,1,25,31,39,23,12,20,3.1,2.0,2.1,200,900,1.8,100,0.5,305,0.8,4,1800,800,Magnus,13585,6410,39056,18866,58113,28453,64036,31552,53690,26679,36532,18399,35652,17775,0,0,138099,63650,9,6,61,324299,159688,6.1106176,4.7283115
98,shredder,str,Melee,120,0.25,75,0.5,0,25,23,27,26,16,23,3.5,1.6,2.7,150,900,1.7000000000000002,100,0.36,280,,2,1800,800,Timbersaw,11997,5570,21852,9933,25154,11510,24397,11259,19281,8827,13635,6181,16068,7465,0,0,50990,23533,38,15,29,152850,70048,-4.656695,-4.842833
99,bristleback,str,Melee,120,1.0,75,0.4,1,25,31,37,22,17,14,2.8,1.8,2.8,150,900,1.8,100,0.30000000000000004,295,0.9,2,1800,800,Bristleback,31913,16264,45864,22495,40098,18803,30009,13836,19395,8888,11780,5462,11462,5238,0,0,112574,61522,48,25,40,226544,109659,2.838115,0.83833355
100,tusk,str,Melee,120,1.0,75,0.5,1,25,27,31,23,23,18,3.9,1.9,1.7000000000000002,150,900,1.7000000000000002,100,0.36,310,0.7000000000000001,2,1800,800,Tusk,11224,5187,23341,10661,30669,14764,33816,16432,30346,14981,23372,11696,28344,14135,0,0,83937,38941,73,41,94,201798,97863,-0.16255853,-0.59149563
101,skywrath_mage,int,Ranged,120,0.25,75,0.25,-2,25,16,26,21,13,25,2.0,0.8,4.1,625,1000,1.7000000000000002,90,0.4,325,,2,1800,800,Skywrath Mage,42393,21843,76856,39611,83099,42785,74947,38352,55976,28646,36593,18499,38106,19139,0,0,201559,103067,55,29,50,447960,228817,9.644217,6.892375
102,abaddon,all,Melee,120,1.0,75,0.0,-1,25,22,32,21,22,18,2.6,1.5,2.0,150,900,1.5,95,0.56,325,0.6000000000000001,2,1800,800,Abaddon,10392,5259,19150,9751,22725,11593,21102,10634,16487,8183,10647,5400,9881,4862,0,0,48507,24756,24,12,74,133921,66477,-5.69809,-5.782521
103,elder_titan,str,Melee,120,0.75,75,0.25,0,25,23,33,26,16,23,3.0,1.8,1.6,150,900,1.7000000000000002,100,0.35000000000000003,305,,2,1800,800,Elder Titan,3652,1776,5998,2978,5671,3014,4733,2519,3334,1714,2520,1271,3546,1907,0,0,25626,12735,6,1,4,43034,21235,-10.560467,-9.567391
104,legion_commander,str,Melee,120,0.25,75,0.0,0,25,33,37,24,18,20,3.1,1.7000000000000002,2.2,150,900,1.7000000000000002,100,0.46,325,,2,1800,800,Legion Commander,42436,22142,86821,46147,95362,50393,83499,44145,60387,31896,36540,19179,32918,17117,0,0,129649,60788,16,10,3,486543,255560,9.306793,8.041972
105,techies,all,Ranged,120,1.0,75,1.0,2,25,20,22,19,16,25,2.6,1.8,3.0,600,900,1.7000000000000002,90,0.5,310,,6,1800,800,Techies,37776,18909,63975,31220,64842,31576,56128,26942,40268,19213,24850,11741,20746,9867,0,0,196684,90361,36,17,91,347413,168967,7.7890835,5.112203
106,ember_spirit,agi,Melee,120,0.5,75,0.0,0,25,33,37,22,22,20,2.3,3.2,2.2,150,900,1.7000000000000002,100,0.4,300,0.8,2,1800,800,Ember Spirit,11103,5028,23499,10797,30415,14242,32584,15584,28061,13488,20335,9886,23987,11636,0,0,67555,30464,64,37,70,187371,88858,-2.0726395,-1.0248444
107,earth_spirit,str,Melee,120,1.0,75,0.0,0,25,25,29,22,17,18,3.8,2.4,2.1,150,900,1.7000000000000002,100,0.35000000000000003,290,,2,1800,800,Earth Spirit,5660,2671,11820,5718,15532,7535,16888,8423,14515,7192,10509,5218,13122,6626,0,0,47913,21894,32,18,8,99624,49351,-8.521023,-7.216054
108,abyssal_underlord,str,Melee,120,0.25,75,0.0,3,25,37,43,25,12,18,3.2,1.6,2.3,200,900,1.7000000000000002,100,0.45,290,,2,1800,800,Underlord,13338,6862,29503,15307,38115,19493,38314,19314,32349,16224,23310,11449,26697,13153,0,0,62242,32186,63,31,61,221572,111401,-0.11170693,1.129059
109,terrorblade,agi,Melee,120,0.5,75,0.0,5,25,26,32,18,22,19,2.0,4.0,1.6,150,900,1.5,110,0.30000000000000004,315,0.8,2,1800,800,Terrorblade,9176,4172,14125,6425,13324,5947,10558,4689,7551,3396,4791,2108,5760,2642,0,0,48345,22364,15,7,18,84739,38079,-8.945033,-8.410275
110,phoenix,str,Ranged,120,2.0,75,0.0,-1,25,21,31,23,12,16,3.3,1.5,1.8,525,1100,1.7000000000000002,100,0.35000000000000003,280,0.9,2,1800,800,Phoenix,9051,4505,20855,10548,27583,14080,28461,14618,23322,11932,16433,8376,21739,11243,0,0,51091,25159,78,38,55,162744,82858,-4.0361667,-3.6110744
111,oracle,int,Ranged,120,0.25,75,0.5,1,25,13,19,20,15,26,2.2,1.7000000000000002,3.6,625,900,1.7000000000000002,100,0.30000000000000004,295,0.7000000000000001,2,1800,800,Oracle,7030,3217,14640,7049,17692,8624,17070,8634,13541,6839,9095,4579,9416,4763,0,0,47520,23008,2,1,12,99850,49556,-8.3720255,-7.306948
112,winter_wyvern,int,Ranged,120,0.25,75,0.5,1,25,16,23,22,16,26,2.5,1.7000000000000002,3.6,450,700,1.7000000000000002,100,0.25,285,,2,1800,1200,Winter Wyvern,11701,6023,21326,10894,21395,10963,19020,9958,15276,8115,9985,5292,12941,7087,0,0,50094,25117,15,10,25,126623,65790,-6.1057963,-6.146037
113,arc_warden,all,Ranged,120,0.25,75,0.0,0,25,23,29,20,20,24,2.4,3.0,2.6,625,900,1.7000000000000002,110,0.30000000000000004,285,0.7000000000000001,2,1800,800,Arc Warden,12883,6470,23832,12172,22811,11803,17960,9313,12836,6770,8032,4253,8170,4266,0,0,64000,30622,3,1,50,126433,63975,-6.7362776,-5.657652
114,monkey_king,agi,Melee,120,1.0,75,0.0,1,25,29,33,19,24,20,2.8,3.7,1.8,300,900,1.6,95,0.45,300,,2,1800,800,Monkey King,15244,6669,25312,11061,27171,12078,25256,11165,19982,9041,13061,5978,13876,6534,0,0,90910,41201,13,8,16,161567,72572,-1.9415171,-3.5673747
119,dark_willow,int,Ranged,120,0.75,75,0.0,0,25,27,35,20,18,21,2.0,1.6,3.5,475,1200,1.5,115,0.30000000000000004,290,0.7000000000000001,2,1800,800,Dark Willow,16120,7715,26606,12762,27800,13424,25870,12714,20263,10065,14270,7196,16515,8387,0,0,85080,41621,39,18,13,167423,82435,-1.8109009,-3.0520332
120,pangolier,all,Melee,120,1.25,75,0.0,2,25,26,32,19,18,16,2.7,3.2,2.2,150,900,1.7000000000000002,100,0.33,295,0.9,2,1800,800,Pangolier,3328,1506,6105,2841,6890,3211,6596,3021,5620,2693,3824,1807,4605,2235,0,0,26818,11698,8,5,87,46797,22055,-10.798,-9.013381
121,grimstroke,int,Ranged,120,0.25,75,0.0,0,25,21,25,21,18,25,2.4,1.9,3.8,600,900,1.7000000000000002,100,0.35000000000000003,290,,0,1800,800,Grimstroke,10179,5144,20016,9981,22905,11498,20782,10312,15659,7812,10293,5198,9855,4936,0,0,49313,24414,10,6,7,124968,61845,-6.3576202,-6.305718
123,hoodwink,agi,Ranged,120,0.25,75,0.0,0,25,22,29,17,25,21,2.0,3.6,2.9,575,1800,2.0,100,0.4,315,0.9,4,1800,800,Hoodwink,25797,12451,45403,22096,48625,23482,42763,20762,32132,15559,20442,10065,20755,10081,0,0,116889,55051,41,18,5,263325,128323,4.0338016,2.431545
126,void_spirit,all,Melee,120,0.25,75,0.6000000000000001,-1,25,22,26,22,21,24,2.6,2.2,3.1,200,900,1.7000000000000002,100,0.35000000000000003,290,0.7000000000000001,2,1800,800,Void Spirit,10361,5109,20132,10202,25332,12785,27701,14447,24131,12519,18151,9177,22844,11551,0,0,60941,30207,52,25,159,164526,83627,-3.554234,-3.1239443
128,snapfire,all,Ranged,120,0.75,75,0.0,1,25,25,31,21,16,21,3.5,1.9,2.2,400,1800,1.8,100,0.35000000000000003,300,,2,1800,800,Snapfire,13031,6115,26342,12560,33897,16202,35466,17055,29086,13880,20279,9795,21331,10289,0,0,70183,31615,50,24,74,196229,94025,-1.0462925,-0.5324396
129,mars,str,Melee,120,0.25,75,0.5,-1,25,26,34,23,20,21,3.7,1.7000000000000002,2.2,250,900,1.8,100,0.4,310,0.8,2,1800,800,Mars,13024,5999,30669,14189,43589,20297,48458,22901,43224,20303,32309,15216,38307,18161,0,0,81756,39123,122,53,79,269788,126914,4.754627,2.2203681
131,ringmaster,int,Ranged,120,0.25,75,0.0,1,25,23,33,21,13,25,2.1,1.4,3.0,575,1200,1.7000000000000002,100,0.5,310,0.6000000000000001,2,1800,800,Ring Master,6318,2956,12705,5971,16004,7572,17460,8354,15519,7507,11748,5666,14322,6899,0,0,34580,15924,40,19,36,101882,48599,-9.032108,-7.0273895
135,dawnbreaker,str,Melee,120,0.5,75,0.0,2,25,25,29,25,14,20,3.4,1.7000000000000002,2.0,150,900,1.7000000000000002,100,0.46,300,0.6000000000000001,2,1800,800,Dawnbreaker,9562,4671,19595,9814,24595,12370,24790,12304,20690,10052,14228,7037,14183,6924,0,0,48440,24135,11,6,6,147151,73499,-4.8441906,-5.128816
136,marci,all,Melee,120,0.25,75,0.0,0,25,29,33,23,20,19,3.0,2.2,1.9,150,0,1.7000000000000002,100,0.30000000000000004,315,0.9,2,1800,800,Marci,17324,8227,29347,14346,31808,15920,29099,14720,22539,11491,15388,7928,17981,9277,0,0,72553,33286,41,18,103,190273,94946,-1.2206558,-1.1240683
137,primal_beast,str,Melee,120,0.25,75,0.0,2,25,36,38,26,15,16,4.3,1.0,1.7000000000000002,150,900,1.8,100,0.6000000000000001,305,0.6000000000000001,2,1800,800,Primal Beast,9402,4524,17997,8649,20619,9905,19546,9342,16226,7666,11997,5724,14162,6929,0,0,54834,27485,34,17,62,123493,59454,-6.775765,-6.2019186
138,muerta,int,Ranged,120,0.25,75,0.0,0,25,24,32,19,21,23,2.0,2.7,3.6,575,3000,1.7000000000000002,115,0.35000000000000003,295,0.7000000000000001,2,1800,800,Muerta,14627,7198,24523,11959,27770,13256,26960,12890,22122,10420,15821,7422,17637,8173,0,0,88846,46686,34,20,36,172367,83354,-1.3787482,-2.9380205
145,kez,agi,Melee,120,1.5,75,0.25,1,25,23,29,20,27,20,2.8,3.5,1.7000000000000002,225,900,1.8,110,0.35000000000000003,315,1.0,2,1800,800,Kez,13510,6508,25026,12056,31039,14870,33586,15949,30293,14298,23105,10969,27593,12953,0,0,79522,36949,49,20,48,201232,95905,-0.38399455,-0.52728486
155,largo,str,Melee,120,0.25,75,0.0,2,25,39,45,24,14,21,3.6,1.3,2.4,150,0,1.7000000000000002,100,0.35000000000000003,290,0.7000000000000001,2,1800,800,Largo,8045,3960,19007,9567,27438,14204,32882,17214,30901,16465,23870,12821,29742,16162,0,0,60044,30641,81,40,156,184854,96494,-2.561719,-0.7727267
